-5.352257216258068492e-29,7.900000000000000355e-01,4.727254162652202217e-33
2.459954731023185743e-29,7.900000000000000355e-01,-6.264971505042154562e-34
-1.785133637578581322e-06,7.899877389007268214e-01,-3.967466735271104261e-05
-5.303219432672537041e-06,7.899623268363897832e-01,-1.189138832139531094e-04
-1.045326377905310594e-05,7.899220324386896364e-01,-2.375199200695433672e-04
-1.708863201511942820e-05,7.898643311183116689e-01,-3.952445309919888215e-04
-2.502002174249214270e-05,7.897859532697621976e-01,-5.918229042812576078e-04
-3.401823943290966821e-05,7.896829324048190157e-01,-8.270044672717055938e-04
-4.381678172366443996e-05,7.895506532199918492e-01,-1.100580530124695752e-03
-5.411422302697151512e-05,7.893838996035150712e-01,-1.412408764825449047e-03
-6.457641118465322046e-05,7.891769025875000620e-01,-1.762434516712444105e-03
-7.483847290186784284e-05,7.889233882509835150e-01,-2.150708946036187195e-03
-8.450663060792006976e-05,7.886166255797003588e-01,-2.577403995617878751e-03
-9.315983223417352338e-05,7.882494742884980088e-01,-3.042824178002617817e-03
-1.003511951845567244e-04,7.878144326123845964e-01,-3.547415171920558895e-03
-1.056092655190486810e-04,7.873036850722769930e-01,-4.091769213726576676e-03
-1.084390930909185556e-04,7.867091502215698418e-01,-4.676627265128014202e-03
-1.083231230905841523e-04,7.860225283797048768e-01,-5.302877934274433970e-03
-1.047219041690960963e-04,7.852353493589576683e-01,-5.971553123516395133e-03
-9.707461305891949268e-05,7.843390201906971226e-01,-6.683820374185068386e-03
-8.479939539544424957e-05,7.833248728573960484e-01,-7.440971876942643719e-03
-6.729352228612402523e-05,7.821842120366897522e-01,-8.244410115944313805e-03
-4.393336209192170061e-05,7.809083628637843999e-01,-9.095630116571161092e-03
-1.407416689431290524e-05,7.794887187185174371e-01,-9.996198270168217201e-03
2.295032676326667147e-05,7.779167890433599242e-01,-1.094772771537286249e-02
6.782848303205317312e-05,7.761842471986288849e-01,-1.195185026455258814e-02
1.212715376082708737e-04,7.742829783611501204e-01,-1.301018487587852351e-02
1.840145535428517232e-04,7.722051274725689751e-01,-1.412430268691238985e-02
2.568175605797198011e-04,7.699431472434595802e-01,-1.529568864452405218e-02
3.404668757160578176e-04,7.674898462193217030e-01,-1.652569978869914552e-02
4.357766016119767310e-04,7.648384369144843875e-01,-1.781552027451981102e-02
5.435902982114319392e-04,7.619825840198591882e-01,-1.916611324744389722e-02
6.647828214637827851e-04,7.589164526903934282e-01,-2.057816972205982545e-02
