-1.785133637578580762e-02,-1.226109927314222858e-01,-3.967466735271104050e-01
-1.732952157515373764e-02,-1.315096506388560016e-01,-3.956454850853100003e-01
-1.631958551286612213e-02,-1.488233336313040667e-01,-3.936682099434820614e-01
-1.485323889685756862e-02,-1.740692267783856551e-01,-3.911857406685515515e-01
-1.296021491306390688e-02,-2.067652817138476706e-01,-3.885376236682343554e-01
-1.066827963044817730e-02,-2.464301639389177012e-01,-3.860318970117913029e-01
-8.003246003372392961e-03,-2.925831988389333560e-01,-3.839449986254217517e-01
-4.988990125523016031e-03,-3.447443164961523365e-01,-3.825217184776312229e-01
-1.647468543746330102e-03,-4.024339953823670157e-01,-3.819751718624175285e-01
2.001264404670776917e-03,-4.651732050155548137e-01,-3.824867743674779663e-01
5.939040111623984826e-03,-5.324833476653942910e-01,-3.842062025794829583e-01
1.014956079798776979e-02,-6.038861991928570205e-01,-3.872513280304757943e-01
1.461838675870259091e-02,-6.789038491095720218e-01,-3.917081153320173259e-01
1.933292615891233496e-02,-7.570586399431551428e-01,-3.976304788807695223e-01
2.428242762622095929e-02,-8.378731059950617066e-01,-4.050400959541936019e-01
2.945797572204263831e-02,-9.208699115781939781e-01,-4.139261774498058655e-01
3.485248921153658030e-02,-1.005571788822019030e+00,-4.242452009554103509e-01
4.046072188688544513e-02,-1.091501475133725307e+00,-4.359206142671142592e-01
4.627926553298639806e-02,-1.178181650404729552e+00,-4.488425208890085560e-01
5.230655445844969997e-02,-1.265134874052751712e+00,-4.628673624409478937e-01
5.854287084882117687e-02,-1.351883521990751902e+00,-4.778176162517578374e-01
6.499035003406469779e-02,-1.437949723614991626e+00,-4.934815297020513358e-01
7.165298459970785572e-02,-1.522855298905742671e+00,-5.096129160759025334e-01
7.853662611206922717e-02,-1.606121695735199140e+00,-5.259310397507800383e-01
8.564898307431192959e-02,-1.687269927478379117e+00,-5.421206214620829522e-01
9.299961358363158237e-02,-1.765820511023727946e+00,-5.578319970793009785e-01
1.005999110228721349e-01,-1.841293405281093420e+00,-5.726814657779344397e-01
