2.841260988673705090e-34,7.900000000000000355e-01,-3.513053632465770752e-37
2.084977507669418271e-34,7.900000000000000355e-01,-3.366622316866399001e-37
3.327947565652476633e-27,7.899885570083164943e-01,1.438591714864113930e-27
9.973372458883015384e-27,7.899647772172353477e-01,4.341793422059006834e-27
1.991417058432444407e-26,7.899269215293144297e-01,8.717249023302165705e-27
3.312355202653374313e-26,7.898724539930596089e-01,1.460773124561552635e-26
4.956573706876499226e-26,7.897980901614473082e-01,2.205502921262947633e-26
6.919477312698851975e-26,7.896998453785858407e-01,3.108881112031858288e-26
9.195498331081934161e-26,7.895730829999330069e-01,4.172865395146123307e-26
1.177814028434008709e-25,7.894125625516080769e-01,5.398604033422107735e-26
1.466001931235344808e-25,7.892124878344466410e-01,6.786630534965572983e-26
1.783290426398496520e-25,7.889665549785492837e-01,8.337051710027455282e-26
2.128775469138882120e-25,7.886680004541692934e-01,1.004972748821318413e-25
2.501475775636739116e-25,7.883096490448719962e-01,1.192444112105980689e-25
2.900336292377868183e-25,7.878839617889746849e-01,1.396105845952982552e-25
3.324231567138119900e-25,7.873830838953466138e-01,1.615967492138906137e-25
3.771968945332032619e-25,7.867988926397120331e-01,1.852074913560560393e-25
4.242291586613896133e-25,7.861230452476505315e-01,2.104522181415021006e-25
4.733881420538631492e-25,7.853470267705354724e-01,2.373461915872383555e-25
5.245361899955710522e-25,7.844621979606892781e-01,2.659113934236838177e-25
5.775300639380718021e-25,7.834598431520621853e-01,2.961772139006903805e-25
6.322211941979008834e-25,7.823312181527640741e-01,3.281809536194112887e-25
6.884559179256161184e-25,7.810675981557896330e-01,3.619681300068121265e-25
7.460757079361384948e-25,7.796603256742846710e-01,3.975925797212121787e-25
8.049173894744361103e-25,7.781008585076947259e-01,4.351163486227688286e-25
8.648133404432486257e-25,7.763808177451303472e-01,4.746093620365446248e-25
9.255916913298498988e-25,7.744920358122575621e-01,5.161488683675916790e-25
9.870765076646706921e-25,7.724266045680008297e-01,5.598186497331497716e-25
1.049087962528221470e-24,7.701769234573054845e-01,6.057079943158859146e-25
1.111442504172731208e-24,7.677357477261629315e-01,6.539104257884604494e-25
1.173953008860686950e-24,7.650962367050528901e-01,7.045221866968516961e-25
1.236428930793096226e-24,7.622520021668912626e-01,7.576404733910535540e-25
1.298676439348229157e-24,7.591971567655091402e-01,8.133614221320895061e-25
1.360498550660978287e-24,7.559263625606058579e-01,8.717778470808982474e-25
1.421695252384445213e-24,7.524348796350391888e-01,9.329767328618663748e-25
1.482063620017801942e-24,7.487186148102189520e-01,9.970364867968701905e-25
1.541397929423904850e-24,7.447741704652681705e-01,1.064023957783376325e-24
1.599489762256749902e-24,7.405988934655105549e-01,1.133991231921855913e-24
1.656128109070994069e-24,7.361909242057183000e-01,1.206972216829093228e-24
1.711099464818998843e-24,7.315492457734328324e-01,1.282979030581323932e-24
1.764187928225476956e-24,7.266737332375338143e-01,1.361998213864833236e-24
1.815175293477603404e-24,7.215652030670891559e-01,1.443986787661941396e-24
1.863841145411822485e-24,7.162254626853660211e-01,1.528868182625245074e-24
1.909962955703210463e-24,7.106573601637253823e-01,1.616528070076405672e-24
1.953316180990242667e-24,7.048648340599497075e-01,1.706810129391391683e-24
1.993674366726404483e-24,6.988529634053820550e-01,1.799511790031530394e-24
2.030809256543060605e-24,6.926280178450640035e-01,1.894379990799572030e-24
2.064490913319660268e-24,6.861975079348701101e-01,1.991107005171890024e-24
2.094487846140959245e-24,6.795702355994314159e-01,2.089326384904385464e-24
2.120567157310244341e-24,6.727563447544298025e-01,2.188609079308522609e-24
2.142494700712402541e-24,6.657673720966280628e-01,2.288459792904359183e-24
2.160043376191633075e-24,6.586162980647684018e-01,2.388368792241591838e-24
2.172977103062665920e-24,6.513175979742377164e-01,2.487698091763306776e-24
2.181059797476646619e-24,6.438872933281521993e-01,2.585738824475170306e-24
2.184054991397431838e-24,6.363430033072577929e-01,2.681704926309260427e-24
2.181726119225104072e-24,6.287039964407842296e-01,2.774731770805574998e-24
2.173836840050318801e-24,6.209912424601122805e-01,2.863875517893027936e-24
2.160151399205897991e-24,6.132274643368399447e-01,2.948113271811002670e-24
2.140435033873224711e-24,6.054371905065387693e-01,3.026344149697170229e-24
2.114454422964949035e-24,5.976468072791977226e-01,3.097391369976230714e-24
2.081978190180522621e-24,5.898846114370390747e-01,3.160005471499435315e-24
