6.187205462901586649e-33,4.573829059722214062e-33,1.464313155994059625e-36
3.327947288887680231e-25,-1.144299168359090221e-03,1.438591714864077196e-25
6.645424979343926774e-25,-2.377979108112355123e-03,2.903201707195164738e-25
9.940798211794544091e-25,-3.785568792087324989e-03,4.375455601234636536e-25
1.320938144073399487e-24,-5.446753625487895344e-03,5.890482222312596572e-25
1.644218529657454873e-24,-7.436383161232031601e-03,7.447297967012421835e-25
1.962903575609929188e-24,-9.824478286143493652e-03,9.033781906514082401e-25
2.276021016454378075e-24,-1.267623786527859696e-02,1.063984283212536347e-24
2.582641937124634025e-24,-1.605204483248945033e-02,1.225738638275819858e-24
2.881879039485598103e-24,-2.000747171614467371e-02,1.388026501543112600e-24
3.172884932217216997e-24,-2.459328558974676476e-02,1.550421175048340605e-24
3.454850457742753934e-24,-2.985545243800304116e-02,1.712675778186340107e-24
3.727003060729898439e-24,-3.583514092972339693e-02,1.874713632847845273e-24
3.988605196645200412e-24,-4.256872558973413823e-02,2.036617338469407368e-24
4.238952786119493875e-24,-5.008778936281240574e-02,2.198616461834691528e-24
4.477373720620169678e-24,-5.841912556346037788e-02,2.361074190216521426e-24
4.703226404268771018e-24,-6.758473920615266917e-02,2.524472678546204802e-24
4.915898341699787448e-24,-7.760184771150444027e-02,2.689397344571274498e-24
5.114804781085210698e-24,-8.848288098462142592e-02,2.856520183676519668e-24
5.299387396209953219e-24,-1.002354808627066857e-01,3.026582047700280124e-24
5.469113017932417517e-24,-1.128624999298126486e-01,3.200373971873595448e-24
5.623472403189978894e-24,-1.263619996974407189e-01,3.378717638738297033e-24
5.761979054552323946e-24,-1.407272481505045525e-01,3.562444971440851572e-24
5.884168078000360711e-24,-1.559467166589878773e-01,3.752376890079681039e-24
5.989595081974572577e-24,-1.720040762564420123e-01,3.949301341375886904e-24
6.077835110340427903e-24,-1.888781932872836133e-01,4.153950633103812046e-24
6.148481622909401017e-24,-2.065431244256695220e-01,4.366978136553740387e-24
6.201145509435815381e-24,-2.249681110695418151e-01,4.588934458276435491e-24
